intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 30,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 31,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 32,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 33,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 34,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 35,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 36,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 37,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 38,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 39,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 40,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 41,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 42,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 43,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 44,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 45,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 46,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 47,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 48,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 49,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 50,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 51,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 52,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 53,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 54,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 55,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 56,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 57,250,1,2,3,4,3,3,TRUE,FALSE
intrebare 58,250,1,2,3,4,1,1,TRUE,FALSE
intrebare 59,250,1,2,3,4,1,1,TRUE,FALSE